Year,zipcode,PrimaryType,Count
2001,60626,LIQUOR LAW VIOLATION,82
2001,60626,MOTOR VEHICLE THEFT,613
2001,60626,NARCOTICS,1089
2001,60626,OFFENSE INVOLVING CHILDREN,82
2001,60626,OTHER OFFENSE,677
2001,60626,PROSTITUTION,89
2001,60626,PUBLIC PEACE VIOLATION,47
2001,60626,ROBBERY,535
2001,60626,SEX OFFENSE,120
2001,60626,STALKING,2
2001,60626,THEFT,2343
2001,60626,WEAPONS VIOLATION,92
2001,60628,ARSON,49
2001,60628,ASSAULT,1684
2001,60628,BATTERY,4737
2001,60628,BURGLARY,1096
2001,60628,CRIM SEXUAL ASSAULT,98
2001,60628,CRIMINAL DAMAGE,2271
2001,60628,CRIMINAL TRESPASS,281
2001,60628,DECEPTIVE PRACTICE,355
2001,60628,GAMBLING,36
2001,60628,HOMICIDE,38
2001,60628,INTERFERENCE WITH PUBLIC OFFICER,24
2001,60628,INTIMIDATION,16
2001,60628,KIDNAPPING,42
2001,60628,LIQUOR LAW VIOLATION,26
2001,60628,MOTOR VEHICLE THEFT,993
2001,60628,NARCOTICS,1645
2001,60628,OFFENSE INVOLVING CHILDREN,117
2001,60628,OTHER OFFENSE,1211
2001,60628,PROSTITUTION,177
2001,60628,PUBLIC PEACE VIOLATION,123
2001,60628,RITUALISM,1
2001,60628,ROBBERY,720
2001,60628,SEX OFFENSE,92
2001,60628,STALKING,8
2001,60628,THEFT,2588
2001,60628,WEAPONS VIOLATION,165
2001,60629,ARSON,36
2001,60629,ASSAULT,698
2001,60629,BATTERY,2100
2001,60629,BURGLARY,1003
2001,60629,CRIM SEXUAL ASSAULT,34
2001,60629,CRIMINAL DAMAGE,1835
2001,60629,CRIMINAL TRESPASS,165
2001,60629,DECEPTIVE PRACTICE,225
2001,60629,GAMBLING,22
2001,60629,HOMICIDE,10
2001,60629,INTERFERENCE WITH PUBLIC OFFICER,6
2001,60629,INTIMIDATION,8
2001,60629,KIDNAPPING,35
2001,60629,LIQUOR LAW VIOLATION,31
2001,60629,MOTOR VEHICLE THEFT,916
2001,60629,NARCOTICS,838
2001,60629,OBSCENITY,1
2001,60629,OFFENSE INVOLVING CHILDREN,41
2001,60629,OTHER NARCOTIC VIOLATION,1
2001,60629,OTHER OFFENSE,800
2001,60629,PROSTITUTION,78
2001,60629,PUBLIC PEACE VIOLATION,54
2001,60629,ROBBERY,455
2001,60629,SEX OFFENSE,79
2001,60629,STALKING,2
2001,60629,THEFT,1762
2001,60629,WEAPONS VIOLATION,103
2001,60630,ARSON,4
2001,60630,ASSAULT,263
2001,60630,BATTERY,652
2001,60630,BURGLARY,356
2001,60630,CRIM SEXUAL ASSAULT,9
2001,60630,CRIMINAL DAMAGE,771
2001,60630,CRIMINAL TRESPASS,78
2001,60630,DECEPTIVE PRACTICE,184
2001,60630,GAMBLING,7
2001,60630,HOMICIDE,2
2001,60630,INTERFERENCE WITH PUBLIC OFFICER,2
2001,60630,INTIMIDATION,1
2001,60630,KIDNAPPING,15
2001,60630,LIQUOR LAW VIOLATION,26
2001,60630,MOTOR VEHICLE THEFT,306
2001,60630,NARCOTICS,166
2001,60630,OFFENSE INVOLVING CHILDREN,13
